,Feature1,Feature2,Correlation_x,Correlation_y
398,Ne_rho_z27,Te_rho_z30,True,True
399,Ne_rho_z27,Te_rho_z31,True,True
400,Ne_rho_z27,Te_rho_z32,True,True
401,Ne_rho_z27,Te_rho_z33,True,True
402,Ne_rho_z27,Te_rho_z34,True,True
403,Ne_rho_z27,Te_rho_z35,True,True
404,Ne_rho_z27,Te_rho_z36,True,True
405,Ne_rho_z27,Te_rho_z37,True,True
406,Ne_rho_z27,Te_rho_z38,True,True
407,Ne_rho_z27,Te_rho_z39,True,True
408,Ne_rho_z27,Te_rho_z40,True,True
409,Ne_rho_z27,Te_rho_z41,True,True
410,Ne_rho_z27,Te_rho_z42,True,True
411,Ne_rho_z27,Te_rho_z43,True,True
412,Ne_rho_z27,Te_rho_z44,True,True
413,Ne_rho_z27,Te_rho_z45,True,True
414,Ne_rho_z27,Te_rho_z46,True,True
415,Ne_rho_z27,Te_rho_z47,True,True
416,Ne_rho_z27,Te_rho_z48,True,True
417,Ne_rho_z27,Te_rho_z49,True,True
418,Ne_rho_z27,Te_rho_z50,True,True
419,Ne_rho_z27,Te_rho_z51,True,True
420,Ne_rho_z27,Te_rho_z52,True,True
421,Ne_rho_z27,Te_rho_z53,True,True
422,Ne_rho_z27,Te_rho_z54,True,True
423,Ne_rho_z27,Te_rho_z55,True,True
424,Ne_rho_z27,Te_rho_z56,True,True
425,Ne_rho_z27,Te_rho_z57,True,True
426,Ne_rho_z27,Te_rho_z58,True,True
427,Ne_rho_z27,Te_rho_z59,True,True
428,Ne_rho_z27,Te_rho_z60,True,True
429,Ne_rho_z27,Te_rho_z61,True,True
430,Ne_rho_z27,Te_rho_z62,True,True
431,Ne_rho_z28,Ne_rho_z22,True,True
432,Ne_rho_z28,Ne_rho_z23,True,True
433,Ne_rho_z28,Ne_rho_z24,True,True
434,Ne_rho_z28,Ne_rho_z25,True,True
435,Ne_rho_z28,Ne_rho_z26,True,True
436,Ne_rho_z28,Ne_rho_z27,True,True
437,Ne_rho_z28,Ne_rho_z29,True,True
438,Ne_rho_z28,Ne_rho_z30,True,True
439,Ne_rho_z28,Ne_rho_z31,True,True
440,Ne_rho_z28,Ne_rho_z32,True,True
441,Ne_rho_z28,Ne_rho_z33,True,True
442,Ne_rho_z28,Ne_rho_z34,True,True
443,Ne_rho_z28,Ne_rho_z35,True,True
444,Ne_rho_z28,Ne_rho_z36,True,True
445,Ne_rho_z28,Ne_rho_z37,True,True
446,Ne_rho_z28,Ne_rho_z38,True,True
447,Ne_rho_z28,Ne_rho_z39,True,True
448,Ne_rho_z28,Ne_rho_z40,True,True
449,Ne_rho_z28,Ne_rho_z41,True,True
450,Ne_rho_z28,Ne_rho_z42,True,True
451,Ne_rho_z28,Ne_rho_z43,True,True
452,Ne_rho_z28,Ne_rho_z44,True,True
453,Ne_rho_z28,Ne_rho_z45,True,True
454,Ne_rho_z28,Ne_rho_z46,True,True
455,Ne_rho_z28,Ne_rho_z47,True,True
456,Ne_rho_z28,Ne_rho_z48,True,True
457,Ne_rho_z28,Ne_rho_z49,True,True
458,Ne_rho_z28,Ne_rho_z50,True,True
